Data/Hora;Y21T156506;A25LM0975882;A25LM0975883;A25LM0975884
23/03/2026 16:56:20;3804;63;61;62
24/03/2026 09:07:36;3804;66;64;64
25/03/2026 07:58:59;3804;68;66;67
26/03/2026 08:26:55;3804;69;66;67
27/03/2026 08:39:36;3804;69;67;68
30/03/2026 09:04:44;3804;69;67;68
31/03/2026 08:33:31;3804;72;70;70
01/04/2026 08:21:16;3804;75;73;73
02/04/2026 08:21:46;3804;77;75;75
06/04/2026 08:26:49;3804;81;78;79
07/04/2026 08:50:43;3804;82;79;81
09/04/2026 08:36:11;3804;85;83;84
10/04/2026 08:04:03;3804;87;84;86
13/04/2026 08:36:16;3804;88;86;87
14/04/2026 08:10:20;3804;91;88;90
15/04/2026 08:32:22;3804;93;91;92
16/04/2026 09:56:49;3804;95;93;94
17/04/2026 09:21:31;3804;96;93;95
21/04/2026 08:29:30;3804;98;95;97
22/04/2026 08:43:21;3804;98;96;97
23/04/2026 09:05:01;3804;101;99;100
27/04/2026 18:57:39;3804;109;107;108
28/04/2026 11:56:46;3804;110;108;109
29/04/2026 08:12:49;3804;111;109;110
30/04/2026 09:29:56;3804;112;109;111
04/05/2026 11:09:44;3804;116;113;115
06/05/2026 09:14:16;3804;120;117;119
07/05/2026 08:42:14;3804;120;118;119
08/05/2026 10:17:39;3804;124;121;123
12/05/2026 10:19:16;3804;130;128;130
13/05/2026 13:50:40;3804;133;131;133
14/05/2026 07:28:44;3804;133;131;133
15/05/2026 08:59:46;3804;134;131;133
18/05/2026 08:23:00;3804;134;132;134
19/05/2026 11:07:49;3804;137;135;137
20/05/2026 08:48:19;3808;137;135;137
21/05/2026 08:10:16;3812;137;135;137
22/05/2026 09:42:21;3813;137;135;137
25/05/2026 08:27:35;3814;137;135;137
26/05/2026 08:33:40;3816;137;135;137
27/05/2026 08:53:24;3816;137;135;137
28/05/2026 09:03:44;3816;140;137;139
29/05/2026 09:01:54;3820;140;137;139
01/06/2026 09:00:24;3827;140;137;139
02/06/2026 08:36:28;3833;140;137;139
03/06/2026 07:52:21;3838;140;137;139
05/06/2026 08:08:31;3841;140;137;139
08/06/2026 08:25:15;3841;140;137;139
09/06/2026 08:19:44;3841;140;137;139
10/06/2026 08:12:15;3841;140;137;139
11/06/2026 08:21:58;3841;140;138;140
12/06/2026 09:18:04;3841;141;138;140
15/06/2026 08:36:41;3841;141;138;140
16/06/2026 08:32:38;3841;143;140;142
17/06/2026 08:33:22;3841;144;141;144
18/06/2026 08:20:03;3841;144;141;144
19/06/2026 08:25:33;3841;145;142;144
22/06/2026 08:16:58;3843;145;142;144
